t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz
0.182000,0.02820406,0.00000931,0.51027867,0.00002495,-0.02266187,0.00001556,0.18536370,0.00002459,0.00634373,-0.00014057,0.04028225,-0.00000713
0.184000,0.02857526,0.00000935,0.51029147,0.00002467,-0.02257606,0.00001555,0.18629071,0.00002330,0.00657069,-0.00014422,0.05078083,-0.00001271
0.186000,0.02894828,0.00000940,0.51030473,0.00002438,-0.02246926,0.00001553,0.18713789,0.00002198,0.00680307,-0.00014783,0.06123234,-0.00001829
0.188000,0.02932295,0.00000944,0.51031845,0.00002409,-0.02234160,0.00001550,0.18790704,0.00002080,0.00704044,-0.00015110,0.07158186,-0.00002383
0.190000,0.02969912,0.00000948,0.51033266,0.00002379,-0.02219332,0.00001546,0.18860129,0.00001959,0.00728332,-0.00015432,0.08176962,-0.00002933
0.192000,0.03007664,0.00000952,0.51034735,0.00002348,-0.02202477,0.00001541,0.18922463,0.00001835,0.00753160,-0.00015749,0.09173271,-0.00003475
0.194000,0.03045538,0.00000956,0.51036254,0.00002317,-0.02183643,0.00001535,0.18978148,0.00001735,0.00778688,-0.00016011,0.10140613,-0.00004006
0.196000,0.03083520,0.00000959,0.51037824,0.00002285,-0.02162891,0.00001528,0.19027775,0.00001585,0.00804653,-0.00016352,0.11072229,-0.00004527
0.198000,0.03121598,0.00000962,0.51039446,0.00002253,-0.02140296,0.00001520,0.19071966,0.00001423,0.00831094,-0.00016703,0.11961273,-0.00005033
0.200000,0.03159762,0.00000965,0.51041122,0.00002220,-0.02115947,0.00001510,0.19110878,0.00001262,0.00858101,-0.00017039,0.12801794,-0.00005522
0.202000,0.03198000,0.00000968,0.51042852,0.00002186,-0.02089941,0.00001500,0.19140896,0.00001102,0.00885634,-0.00017361,0.13595164,-0.00005994
0.204000,0.03236293,0.00000970,0.51044637,0.00002152,-0.02062373,0.00001490,0.19162381,0.00000940,0.00913717,-0.00017674,0.14336536,-0.00006449
0.206000,0.03274626,0.00000972,0.51046479,0.00002117,-0.02033350,0.00001478,0.19176564,0.00000777,0.00942341,-0.00017977,0.15021019,-0.00006882
0.208000,0.03312984,0.00000973,0.51048378,0.00002082,-0.02002988,0.00001465,0.19184569,0.00000612,0.00971490,-0.00018271,0.15645443,-0.00007293
0.210000,0.03351355,0.00000974,0.51050336,0.00002046,-0.01971408,0.00001452,0.19187407,0.00000445,0.01001149,-0.00018555,0.16208224,-0.00007680
0.212000,0.03389730,0.00000975,0.51052353,0.00002009,-0.01938734,0.00001438,0.19185978,0.00000278,0.01031296,-0.00018830,0.16709179,-0.00008043
0.214000,0.03428100,0.00000975,0.51054431,0.00001972,-0.01905088,0.00001423,0.19181072,0.00000108,0.01061909,-0.00019095,0.17149294,-0.00008380
0.216000,0.03466458,0.00000976,0.51056570,0.00001935,-0.01870591,0.00001407,0.19173375,-0.00000062,0.01092963,-0.00019350,0.17530485,-0.00008692
0.218000,0.03504800,0.00000975,0.51058772,0.00001897,-0.01835361,0.00001391,0.19163479,-0.00000234,0.01124433,-0.00019595,0.17855371,-0.00008978
0.220000,0.03543122,0.00000975,0.51061036,0.00001858,-0.01799508,0.00001374,0.19151888,-0.00000407,0.01156292,-0.00019830,0.18127066,-0.00009240
0.222000,0.03581419,0.00000974,0.51063365,0.00001819,-0.01763137,0.00001357,0.19139029,-0.00000581,0.01188514,-0.00020055,0.18349002,-0.00009478
0.224000,0.03619690,0.00000973,0.51065758,0.00001780,-0.01726346,0.00001339,0.19125262,-0.00000756,0.01221070,-0.00020270,0.18524786,-0.00009692
0.226000,0.03657934,0.00000971,0.51068217,0.00001740,-0.01689224,0.00001321,0.19110885,-0.00000932,0.01253935,-0.00020475,0.18658081,-0.00009883
0.228000,0.03696148,0.00000969,0.51070741,0.00001700,-0.01651856,0.00001303,0.19096146,-0.00001109,0.01287082,-0.00020670,0.18752518,-0.00010053
0.230000,0.03734333,0.00000967,0.51073332,0.00001659,-0.01614317,0.00001284,0.19081248,-0.00001287,0.01320485,-0.00020856,0.18811631,-0.00010202
0.232000,0.03772488,0.00000964,0.51075990,0.00001618,-0.01576677,0.00001265,0.19066357,-0.00001465,0.01354119,-0.00021031,0.18838813,-0.00010331
0.234000,0.03810613,0.00000961,0.51078715,0.00001577,-0.01538997,0.00001245,0.19051603,-0.00001644,0.01387960,-0.00021197,0.18837278,-0.00010441
0.236000,0.03848709,0.00000958,0.51081508,0.00001535,-0.01501333,0.00001225,0.19037093,-0.00001824,0.01421982,-0.00021352,0.18810047,-0.00010533
0.238000,0.03886776,0.00000954,0.51084369,0.00001493,-0.01463735,0.00001205,0.19022906,-0.00002004,0.01456164,-0.00021499,0.18759936,-0.00010608
0.240000,0.03924815,0.00000950,0.51087298,0.00001451,-0.01426248,0.00001185,0.19009105,-0.00002185,0.01490483,-0.00021635,0.18689551,-0.00010667
0.242000,0.03962827,0.00000945,0.51090297,0.00001408,-0.01388911,0.00001165,0.18995735,-0.00002366,0.01524916,-0.00021762,0.18601292,-0.00010711
